problem_id,title,A,B,C,D,E,answer,count
94,预备党员应在预备期满前一个月，由本人提出转正申请；对预备期满后不完全具备条件或犯有一定的错误，但还没有完全丧失预备党员条件，并且本人决心努力改正错误的，可延长预备期。延长时间最长不可超过（）。,半年,一年,一年半,"","",B,8
95,做一名合格的共产党员的首要条件是（）。,有共产主义信念,有马克思主义信念,有社会主义信念,"","",A,6
96,（）指出：“为什么我们过去能在非常困难的情况下奋斗出来，战胜千难万险使革命胜利呢？就是因为我们有理想，有马克思主义信念，有共产主义信念。,毛泽东,邓小平,江泽民,"","",B,6
97,（）说：“共产党员的党性，就是无产者阶级性最高而集中的表现，就是无产者本质的最高表现，就是无产阶级利益最高最集中的表现。共产党员的党性锻炼和修养，是党员本质的改造。,毛泽东,周恩来,刘少奇,"","",C,12
98,中华人民共和国是（）年成立的。,1949,1945,1950,1951,"",A,6
99,属于“五个必须”的是（）,必须保守党的秘密,必须维护党中央权威,必须遵守党的纪律,"","",B,5
100,中国人民解放军建军节是每年的（）。,七月一日,六月一日,八月一日,九月九日,"",C,6
101,新的历史时期，在社会主义市场经济条件下，党的（）更是直接关系到党的生死存亡的大问题。,思想建设,组织建设,作风建设,"","",C,11
102,（）对广大青年树立和培育社会主义核心价值观，提出了四点希望和要求；一是要勤学、二是修德、三是要明辨、四是要笃实。,江泽民,胡锦涛,习近平,"","",C,12
103,十八大报告指出：“建设（），是关系人民福祉、关乎民族未来的长远大计。,政治文明,社会文明,生态文明,"","",C,1
104,正确的入党动机，指争取入党的内在原因是忠诚地信仰（），全心全意为人民服务。,马列主义,社会主义,共产主义,"","",C,9
105,（）学习教育是面向全体党员深化党内教育的重要实践，是推动党内教育从“关键少数”向广大党员拓展，从集中性教育向经常性教育延伸的重要举措。,“两学一做”,“四讲四有”,“三会一课”,"","",A,6
106,“两学一做”学习教育是面向（）深化党内教育的重要实践，是推动党内教育从“关键少数”向广大党员拓展，从集中性教育向经常性教育延伸的重要举措。,党员干部,全体党员,部分党员,"","",B,11
107,以江泽民为主要代表的中国共产党人，在建设中国特色社会主义的实践中，积累了治党治国的宝贵经验，形成了（）。,建设中国特色社会主义理论,“三个代表”重要思想,科学发展观,"","",B,10
108,以胡锦涛为主要代表的中国共产党人，在建设中国特色社会主义的实践中，积累了治党治国的宝贵经验，形成了（）。,建设中国特色社会主义理论,“三个代表”重要思想,科学发展观,"","",C,7
109,中国共产党在莫斯科召开的全国代表大会是（）。,党的六大,党的五大,党的四大,"","",A,10
110,确立毛泽东思想为党的指导思想，使全党在思想上、政治上、组织上达到空前的统一和团结的大会是（）。,党的七大,党的八大,党的九大,"","",A,10
111,党的（），把邓小平理论确立为党的指导思想。,十三大,十四大,十五大,"","",C,10
112,中国共产党在社会主义初级阶段的基本路线是：领导和团结全国各族人民，以（）为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗。,经济建设,政治建设,文化建设,"","",A,6
113,加强社会主义核心价值体系建设，坚持马克思主义指导思想，树立中国特色社会主义共同理想，弘扬以（）为核心的民族精神和以改革创新为核心的时代精神。,共产主义,爱国主义,社会主义,"","",B,6
114,马克思主义诞生的标志是（）的发表。,《共产党宣言》,《德意志意识形态》,《英国工人阶级状况》,"","",A,9
115,第一次比较系统地初步回答中国这样经济文化比较落后的国家如何建设社会主义、如何巩固和发展社会主义等一系列基本问题的是（）。,毛泽东思想,邓小平理论,“三个代表”重要思想,"","",B,6
116,党的基本路线的核心内容中，“一个中心”是指：（）。,以改革开放为中心,以四项基本原则为中心,以经济建设为中心,"","",C,7
117,小康社会是（）在规划我国经济社会发展蓝图时提出的战略构想。,毛泽东,邓小平,江泽民,"","",B,6
118,党的全国代表大会每（）举行一次。,三年,四年,五年,"","",C,9
119,（）曾指出：“加强纪律性，革命无不胜”、“纪律是执行路线的保证”。,毛泽东,邓小平,陈云,"","",A,6
120,我们党的最大政治优势是（），执政后最大的危险是脱离群众。,密切联系群众,全心全意为人民服务,批评与自我批评,"","",A,5
121,党的三大优良作风是毛泽东在（）党的七大作的《论联合政府》报告中首次提出来的。,1942年1月,1945年4月,1949年3月,"","",B,11
122,十八届中央政治局带头制定和严格执行“关于改进工作作风、密切联系群众的（）规定。,六项,八项,九项,"","",B,7
123,党章规定对党员的纪律处分有警告、严重警告、（）、留党察看和开除党籍。,记过,记大过,撤销党内职务,"","",C,4
124,支部大会通过接受预备党员的决议，其赞成人数必须超过应到会有表决权的正式党员的（）。,半数,三分之一,三分之二,"","",A,4
125,预备党员的预备期从（）之日算起。,上级党组织谈话,党委研究同意,支部大会讨论通过,"","",C,7
126,党的支部委员会对申请入党的人，要注意征求党内外有关群众的意见，进行严格的审查，认为合格后再提交（）讨论。,上级党委,支部大会,支部委员会,"","",B,13
127,党的（）党章修正案首次将尊重党员主体地位写入党章。,十九大,十七大,十八大,"","",C,8
128,下列属于党员权利的是（）。,倡导共产主义道德,对党的工作提出建议和倡议,加强理论学习,"","",B,9
129,下列属于党员义务的是（）。,倡导共产主义道德,对党的工作提出建议和倡议,参加党的有关会议,"","",A,10
130,党员的政治修养是指（）。,坚定共产主义和中国特色社会主义的信念,加强思想理论修养，提高自己用马克思主义理论观察事物、分析事物、解决实际问题的能力,树立大公无私的崇高境界,"","",A,3
131,"胡锦涛同志阐述了新的时代对共产党员党性修养的要求,以下不正确的是（）。",必须高举建设有中国特色社会主义的伟大旗帜，坚定不移地走有中国特色的社会主义道路,必须站在社会主义改革开放和现代化建设的前列，坚决抵制资本主义,必须认真实践全心全意为人民服务的宗旨，密切联系群众,"","",B,8
132,党内（）是党的生命，对人民民主具有重要的示范和带动作用。,民主,法制,监督,"","",A,4
133,十七大报告指出，事实雄辩地证明（）是决定当前中国命运的关键抉择，是发展中国特色社会主义，实现中华民族伟大复兴的必由之路。,依法治国,改革开放,科教兴国,"","",B,8
134,党员的党龄，从（）之日算起。,递交入党志愿书,支部大会通过其为预备党员,预备期满转为正式党员,"","",C,11
135,中国共产党党员标准主要是由（）决定的。,党的工人阶级先锋队性质,党在各个时期的方针政策,党的优良传统和作风,"","",A,9
136,共产党的党性是（）的最高表现。,工人阶级的阶级性,先进分子的先进性,革命分子的革命性,"","",A,8
137,党的团结的政治基础是（）。,马克思主义,民主集中制,党的纲领路线,"","",C,5
138,党的团结的思想基础是（）。,马克思主义,民主集中制,党的纲领路线,"","",A,7
139,党的团结的组织基础是（）。,马克思主义,民主集中制,党的纲领路线,"","",B,7
140,党的（），比较系统地阐述了关于社会主义初级阶段的理论，完整地概括了党在社会主义初级阶段的基本路线。,十二大,十三大,十四大,"","",B,6
141,党的（），明确提出我国经济体制改革的目标是建立社会主义市场经济体制。,十三大,十四大,十五大,"","",B,9
142,（）是决定一个政党、一个政权盛衰的根本因素。,执政能力,领导水平,人心向背,"","",C,8
143,高校党委是党的（）。,地方组织,基层组织,行业组织,"","",B,10
144,毛泽东在七届二中全会上告诫全党同志们继续保持两个务必，即务必保持谦虚、谨慎、不骄、不躁的作风和（）。,务必保持与群众的密切联系的作风,务必保持批评与自我批评的作风,务必保持艰苦奋斗的作风,"","",C,9
145,党执政后的最大危险是（）。,党内腐败,脱离群众,骄傲自满,"","",B,8
146,马克思主义政党的根本特征是（）。,先进性,阶级性,纯洁性,"","",A,6
147,科学发展观的核心是（）。,发展,全面协调可持续,以人为本,"","",C,10
148,科学发展观的基本要求是（）。,发展,全面协调可持续,以人为本,"","",B,7
149,科学发展观的根本方法是（）。,统筹兼顾,全面协调可持续,以人为本,	和谐统一,"",A,12
150,党的（）是统一全党思想和行动的最高准则，他包括党的性质，党的指导思想，党的最终目标，党在当前历史阶段的总任务和基本政策，以及党的建设的基本要求等。,纲领,章程,路线,"","",A,6
151,坚持全面从严治党，必须以（）为根本遵循，把党的政治建设摆在首位，思想建党和制度治党同向发力，统筹推进党的各项建设。,纲领,党章,规定,"","",B,8
152,坚持（），是我们的强国之路。,经济建设,和谐稳定,改革开放,"","",C,1
153,在中国大地上举起俄国十月社会主义革命旗帜的第一人是（）。,陈独秀,李大钊,毛泽东,"","",B,6
154,必须充分发扬党内民主，尊重党员的（）地位，保障党员民主权利，发挥各级党组织和广大党员的积极性创造性。,主体,主要,重要,"","",A,8
155,党的基层组织是党在社会基层组织中的（），是党的全部工作和战斗力的基础。,基层政权组织,战斗堡垒,基层领导机关,基层自治组织,"",B,11
156,1935年1月召开的（），开始确立毛泽东在红军和党中央的领导地位。,遵义会议,通道会议,黎平会议,"","",A,8
157,毛泽东第一次提出探索适合中国国情的社会主义建设道路的著作是（）。,《论十大关系》,《关于正确处理人民内部矛盾的问题》,《论人民民主专政》,"","",A,4
158,我国的国体是（）。,人民代表大会制度,人民民主专政,无产阶级专政,"","",B,8
159,十八大报告指出了建设中国特色社会主义的（）总布局。,三位一体,四位一体,五位一体,"","",C,4
160,党的民主集中制的“四个服从”是指：个人服从组织、下级服从上级、（）、全党服从中央。,党员服从干部,地方各级委员会服从中央委员会,少数服从多数,"","",C,4
161,（）是中国共产党历史上的一个伟大转折点。,八七会议,第七次代表大会,遵义会议,"","",C,4
162,坚持四项基本原则，最核心的一条是坚持（）。,无产阶级专政,共产党的领导,社会主义道路,马列主义、毛泽东思想,,B,9
163,党的十七届六中全会在集中全党智慧的基础上，阐述了中国特色社会主义文化发展道路，确立了建设社会主义（）的战略目标。,文化强国,军事强国,教育强国,"","",A,4
164,我国社会主义的政党制度是（）。,多党制,一党制,共产党领导的多党合作与政治协商制度,"","",C,3
165,共产主义信仰是共产党人的政治灵魂及其经受住任何考验的精神支柱。主要表现在对马克思主义的信仰和对（）。,社会主义和共产主义的信念,改革开放和现代化建设的信心,党和政府的信任,"","",A,6
166,党的领导主要是（）的领导。,政治、经济和文化,政治、经济和军事,政治、思想和组织,"","",C,11
167,中国共产党是以（）为阶级基础的,工人阶级,农民阶级,知识分子,"","",A,10
168,党的领导地位的确立，是由党的（）所决定的。,纲领,宗旨,性质,"","",C,12
170,我们党执政兴国的第一要务是（）。,发展,改革,开放,"","",A,2
171,根据马克思和恩格斯对共产主义社会的论述，共产主义社会实行（）的分配制度。,各尽所能，按劳分配,各尽所能，平均分配,各尽所能，按需分配,"","",C,9
172,民主集中制是我党的（）。,根本宗旨,组织原则,基本路线,"","",B,9
173,邓小平同志在（）年年初的南方谈话中提出了“社会主义的本质，是解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到共同富裕”。,1984,1988,1992,"","",C,8
174,党的（），明确提出我国经济体制改革的目标是建立社会主义市场经济体制。,十三大,十四大,十五大,"","",B,14
175,（）中国对香港恢复行使主权。,1999年10月1日,1997年7月1日,1999年12月20日,"","",B,5
176,（）中国对澳门恢复行使主权。,1999年10月1日,1997年7月1日,1999年12月20日,"","",C,10
177,企业、农村、机关、学校、科研院所、街道社区、社会组织、人民解放军连队和其他基层单位，凡是有正式党员（）人以上的，都应当成立党的基层组织。,三,四,五,"",,A,9
178,（）是最活跃最革命的因素，是社会发展的最终决定力量。,生产力,生产关系,生产方式,"","",A,10
179,改革的实质是（）。,思想创新,文化创新,体制创新,"","",C,9
180,十九大报告指出，中国特色社会主义最本质的特征是（）。,中国共产党领导,人民民主专政,社会主义公有制,"","",A,5
181,（）是我们党的基本政治观点。,群众观点,发展观点,平等观点,"","",A,11
182,（）是当代中国发展进步的旗帜，是全党全国各族人民团结奋斗的旗帜。,爱国统一战线旗帜,“一国两制”旗帜,中国特色社会主义伟大旗帜,"","",C,9
183,我国社会主义建设的根本任务是（）。,发展生产力,改革开放,建设小康社会,"","",A,5
184,党组织讨论问题必须坚持的原则是（）。,个人服从党的组织,少数服从多数,下级组织服从上级组织,"","",B,6
185,贯彻“三个代表”重要思想的关键是（）。,坚持与时俱进,坚持党的先进性,坚持执政为民,"","",A,4
186,贯彻“三个代表”重要思想的核心是（）。,坚持与时俱进,坚持党的先进性,坚持执政为民,"","",B,1
187,贯彻“三个代表”重要思想的本质是（）。,坚持与时俱进,坚持党的先进性,坚持执政为民,"","",C,9
188,构建社会主义和谐社会的重点是（）。,改善民生,维护公平正义,创新社会治理,"","",A,7
189,我们的时代精神的核心是（）。,改革开放,改革创新,爱国主义,"","",B,5
190,我们的民族精神的核心是（）。,改革开放,改革创新,爱国主义,"","",C,2
191,十九大报告指出，中国特色社会主义制度的最大优势是（）。,人民民主专政,中国共产党领导,人民代表大会制度,"","",B,14
192,召开讨论接收预备党员的支部大会，有表决权的到会人数必须超过应到会有表决权人数的（）。,二分之一,三分之一,三分之二,"","",A,5
193,党委对党支部上报的接收预备党员的决议，应当在三个月内审批，并报上级党委组织部门备案。如遇特殊情况可适当延长审批时间，但不得超过（）。,六个月,九个月,十二个月,"","",A,8
194,成立党的基层组织必须有（）名以上党员。,十,五,三,"","",C,5
195,马克思主义建党理论中一个带有根本性的重大课题是保持马克思主义政党的（）。,先进性,纯洁性,进步性,"","",A,5
196,共产党员同一般群众的根本区别就是他的（）。,进步性,纯洁性,先进性,"","",C,7
197,留党察看的最长时间不超过（）。,一年,两年,三年,"","",B,6
198,我国实行社会主义初级阶段的分配制度就是初次分配注重（）、再次分配注重（）。,效率、公平,公平、效率,效率、平等,"","",A,7
199,中国共产党的成立，得到了（）领导的第三国际的帮助。,列宁,斯大林,恩格斯,"","",A,5
200,党的（），把习近平新时代中国特色社会主义思想确立为党的指导思想。,十七大,十八大,十九大,"","",C,4
201,党的（），把“三个代表”重要思想确立为党的指导思想。,十五大,十六大,十七大,"","",B,9
202,党的（），把科学发展观确立为党的指导思想。,十六大,十七大,十八大,"","",C,7
203,坚持（），是我们的立国之本。,四项基本原则,和谐稳定,改革开放,"","",A,5
204,加强社会主义核心价值体系建设，坚持马克思主义指导思想，树立中国特色社会主义共同理想，弘扬以（）为核心的民族精神和以改革创新为核心的时代精神，倡导社会主义荣辱观，增强民族自尊、自信和自强精神，抵御资本主义和封建主义腐朽思想的侵蚀，扫除各种社会丑恶现象，努力使我国人民成为有理想、有道德、有文化、有纪律的人民。,爱国主义,社会主义,集体主义,"","",A,7
205,党的思想路线最本质的东西是（）。,一切从实际出发,理论联系实际,实事求是,"","",C,6
206,中国共产党领导中国人民在走中国特色社会主义道路上，再次把马克思主义与中国实际相结合，形成的新的理论成果是（）。,科学发展观,习近平新时代中国特色社会主义思想,“三个代表”重要思想,"","",B,8
207,下列不属于毛泽东思想活的灵魂的是（）。,实事求是,阶级斗争,群众路线,"","",B,11
208,在民主革命时期，我党曾经于（）召开过党的全国代表会议。,1937年,1941年,1945年,"","",A,5
209,党的三大优良作风是（）在1945年4月党的七大作的《论联合政府》报告中首次提出来的。,刘少奇,毛泽东,周恩来,"","",B,6
210,“执政党的党风问题是有关党的生死存亡的问题”这一命题最早是由（）同志提出来的。,毛泽东,邓小平,陈云,"","",C,7
211,下列属于正确入党动机的是（）。,理想型,进取型,随大流型,"","",A,10
212,胡锦涛同志在党的十八大报告中指出一些领导干部缺乏坚定的理想信念，主要体现在（）和少数党员干部宗旨意识淡薄。,科学发展能力不强,基层党组织软弱涣散,形式主义、官僚主义问题突出,"","",B,5
213,1978年召开的党的（），是建国以来我党历史上具有深远意义的伟大转折。,中共中央工作会议,十一届六中全会,十一届三中全会,"","",C,11
214,全面提高公民道德素质。要坚持依法治国和以德治国相结合，加强（）教育，弘扬中华传统美德，弘扬时代新风。,思想道德,社会主义核心价值观,社会公德、职业道德、家庭美德、个人品德,"","",C,10
215,在党的十九大报告中，习近平同志强调，我们要坚定道路自信、理论自信、制度自信和（）。,价值自信,民族自信,文化自信,"","",C,7
